compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL477783,CC(C)OC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,,6.104025267640935
CHEMBL1224091,CC(C)OCC1(C(=O)c2ccc(N)c(Cl)c2)CCCN1,,8.899974269892137
CHEMBL208070,CC(C)OCCN(Cc1ccc(F)cc1C(F)(F)F)C1CCNCC1,,8.522878745280337
CHEMBL596805,CC(C)OCC[C@]1(c2ccc(Cl)c(Cl)c2)[C@@H]2CNC[C@@H]21,,9.500038134403809
CHEMBL605209,CC(C)OC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,,9.899974269892137
CHEMBL3898537,CC(C)Oc1ccc(Br)c(CC2CCN(CCc3cc4c(cc3Cl)OCCO4)CC2)c1,,7.856985199745905
CHEMBL1083405,CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,,7.7447274948966935
CHEMBL515645,CC(C)Oc1ccccc1N1CCN(C(=O)CCCn2nc(-n3ccnc3)ccc2=O)CC1,>,6.0
CHEMBL523965,CC(C)Oc1ccccc1N1CCN(CCCCn2nc(-n3ccc4ccccc43)ccc2=O)CC1,,5.982966660701219
CHEMBL523774,CC(C)Oc1ccccc1N1CCN(CCCCn2nc(-n3ccnc3)ccc2=O)CC1,>,5.0
CHEMBL515945,CC(C)Oc1ccccc1N1CCN(CCNC(=O)Cn2nc(-n3ccnc3)ccc2=O)CC1,>,6.0
CHEMBL478835,CC(C)S(=O)(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,,5.328827157284917
CHEMBL570781,CC(C)c1ccccc1C(=O)N(C1CCC1)[C@H]1CCNC1,,6.110138278741812
CHEMBL550401,CC(C)c1ccccc1C(=O)N(C1CCCC1)[C@H]1CCNC1,,6.178486471595227
CHEMBL571443,CC(C)c1ccccc1C(=O)N(CC1CC1)[C@H]1CCNC1,,5.542118103266008
